來源,序號,業者代碼,國語,臺灣台語_羅馬字,臺灣台語_第二羅馬字,臺灣台語_漢字建議,臺灣台語_說明,臺灣客語_羅馬字,臺灣客語_漢字建議,臺灣客語_說明,音檔
臺灣鐵路站名,101,3160,苗栗,Biâu-li̍k,(Biâu-li̍k),,現：Miâu-li̍k。採biâu係因教典採為正讀，而miâu列為又音。,meuˇ lid,,,101_苗栗.mp3
臺灣鐵路站名,102,3170,南勢,Lâm-sì,(Lâm-sì),,,namˇ sii,,,102_南勢.mp3
臺灣鐵路站名,103,3180,銅鑼,Tâng-lô,(Tâng-lô),,,tungˇ loˇ,,,103_銅鑼.mp3
臺灣鐵路站名,104,3190,三義,Sam-gī,,,,samˊ ngi,,舊稱三叉(samˊ caˊ)，當地及客語台仍偶聞此一說法。,104_三義.mp3
臺灣鐵路站名,105,3192,勝興,Sìng-hing,,,,siin hinˊ,,,105_勝興.mp3
臺灣鐵路站名,106,3193,龍騰,Liông-thîng,(Liông-thîng),,,liungˇ tenˇ(ngˇ tenˇ piangˇ),龍藤(魚藤坪),舊名魚藤坪，當地人仍保有此說法。,106_龍騰.mp3
臺灣鐵路站名,107,3210,泰安,Thài-an,,,,tai onˊ,,,107_泰安.mp3
臺灣鐵路站名,108,3220,后里,Āu-lí,,後里,,heu liˊ,,,108_后里.mp3
臺灣鐵路站名,109,3230,豐原,Hong-guân,,,,fungˊ ngienˇ,,,109_豐原.mp3
臺灣鐵路站名,110,3240,栗林,Ka-la̍t-nâ,,校栗林,現：Li̍k-lîm（文讀），取自里名；唯公車站牌、在地居民均稱「校栗林」。,lid limˇ,,又唸：gauˋ lid limˇ（校栗林）。,110_栗林.mp3
臺灣鐵路站名,111,3250,潭子,Thâm-tsú,(Thâm-tsú),,舊稱Thâm-á-kênn（潭仔墘），教典有收。,tamˇ ziiˋ,,現：tabˋziiˋ,111_潭子.mp3
臺灣鐵路站名,112,3260,頭家厝,Thâu-ke-tshù,(Thâu-ke-tshù),,,teuˇ gaˊ vugˋ,頭家屋,,112_頭家厝.mp3
臺灣鐵路站名,113,3270,松竹,Siông-tik,(Siông-tik),,,qiungˇ zugˋ,,,113_松竹.mp3
臺灣鐵路站名,114,3280,太原,Thài-guân,,,,tai ngienˇ,,,114_太原.mp3
臺灣鐵路站名,115,3290,精武,Tsing-bú,,,,jinˊ vuˋ,,,115_精武.mp3
臺灣鐵路站名,116,3300,臺中,Tâi-tiong,(Tâi-tiong),,,toiˇ zungˊ,,,116_臺中.mp3
臺灣鐵路站名,117,3310,五權,Ngóo-khuân,Ngóo-kuân,,,ngˋ kienˇ,,,117_五權.mp3
臺灣鐵路站名,118,3320,大慶,Tāi-khìng,,,,tai kin,,,118_大慶.mp3
臺灣鐵路站名,119,3330,烏日,Oo-ji̍t,Oo-li̍t,,現：Oo-li̍t33。,vuˊ ngidˋ,,,119_烏日.mp3
臺灣鐵路站名,120,3340,新烏日,Sin-oo-ji̍t,Sin-oo-li̍t,,,xinˊ vuˊ ngidˋ,,,120_新烏日.mp3
臺灣鐵路站名,121,3350,成功,Sîng-kong,(Sîng-kong),,,siinˇ gungˊ,,,121_成功.mp3
臺灣鐵路站名,122,4410,民族,Bîn-tso̍k,(Bîn-tso̍k),,,minˇ cug,,,122_民族.mp3
臺灣鐵路站名,123,4420,科工館,Kho-kang-kuán,(Kho-kang-kuán),,,koˊ gungˊ gonˋ,,,123_科工館.mp3
